EventID,Timestamp,Time,Direction,Coord1,Coord2,Direction2,Coord3,Coord4
26668,347133988,1732262924.863455,'Left',97.4137827959477,-137.003387,,,
26669,347142454,1732262924.871014,'Left',93.54784491466688,-139.320465,,,
26670,347150751,1732262924.879841,'Left',89.40251636896176,-141.934677,,,
26671,347159286,1732262924.888199,'Left',84.83450786198766,-144.564911,,,
26672,347167444,1732262924.895593,'Left',79.37690560459278,-147.649673,,,
26673,347175896,1732262924.90496,'Left',74.56447654526646,-150.50885,,,
26674,347184220,1732262924.913298,'Left',71.4008041303755,-152.923004,,,
26675,347192658,1732262924.921142,'Left',69.47511743335987,-154.702194,,,
26676,347200903,1732262924.930142,'Left',65.37257017190399,-156.814316,,,
26677,347209437,1732262924.937931,'Left',59.08255608237706,-158.993378,,,
26678,347217983,1732262924.946812,'Left',52.358971946375156,-162.001801,,,
26679,347226050,1732262924.955775,'Left',45.842672563169515,-165.771317,,,
26680,347234651,1732262924.963021,'Left',40.35339144960436,-168.502823,,,
26681,347242919,1732262924.972332,'Left',37.10946789673335,-170.846634,,,
26682,347251617,1732262924.980612,'Left',34.5349548118649,-172.944382,,,
26683,347259553,1732262924.987875,'Left',32.47522336626388,-174.701767,,,
26684,347268149,1732262924.996386,'Left',30.17600039953051,-176.481659,,,
26685,347276404,1732262925.006512,'Left',27.44312260632724,-178.380859,,,
26686,347285118,1732262925.014703,'Left',25.27194440780526,-180.053543,,,
26687,347293116,1732262925.0214,'Left',22.868709667278694,-181.60701,,,
26688,347301514,1732262925.029595,'Left',20.72954845550029,-183.207153,,,
26689,347310170,1732262925.038218,'Left',18.470205905662723,-184.511642,,,
26690,347318505,1732262925.046829,'Left',16.807305547489047,-185.379089,,,
26691,347326693,1732262925.055066,'Left',14.953993501719149,-186.146637,,,
26692,347335389,1732262925.063951,'Left',14.039363008431913,-186.540649,,,
26693,347343513,1732262925.07469,'Left',13.168866827602663,-186.944183,,,
26694,347352438,1732262925.081922,'Left',12.100548192314944,-187.211746,,,
26695,347360728,1732262925.089382,'Left',11.521676386008041,-187.384338,,,
26696,347368668,1732262925.097173,'Left',10.451896633450426,-187.705978,,,
26697,347376956,1732262925.106043,'Left',9.632996064816233,-187.756622,,,
26698,347385604,1732262925.11413,'Left',9.588553695586672,-187.729797,,,
26699,347393781,1732262925.122368,'Left',9.60170809713013,-187.781311,,,
26700,347402069,1732262925.131125,'Left',9.659005597800258,-187.739502,,,
26701,347410577,1732262925.139975,'Left',9.778290567559376,-187.641953,,,
26702,347418901,1732262925.14729,'Left',9.787990410992194,-187.578735,,,
26703,347427199,1732262925.156753,'Left',10.143507786458544,-187.524353,,,
26704,347435942,1732262925.16453,'Left',10.481479626453572,-187.465378,,,
26705,347443982,1732262925.172384,'Left',10.874160806838296,-187.42421,,,
26706,347452312,1732262925.181172,'Left',11.343076153738625,-187.352676,,,
26707,347461149,1732262925.190885,'Left',11.667406733842935,-187.200821,,,
26708,347469243,1732262925.198869,'Left',12.107340327945934,-187.007233,,,
26709,347477475,1732262925.205811,'Left',12.991116080822126,-186.769989,,,
26710,347485772,1732262925.214345,'Left',14.003258619520333,-186.430801,,,
26711,347494259,1732262925.222555,'Left',14.944182608733456,-186.082474,,,
26712,347502698,1732262925.231166,'Left',16.255790939787953,-185.491425,,,
26713,347511049,1732262925.23938,'Left',18.16176836741112,-184.88858,,,
26714,347519304,1732262925.247819,'Left',20.324028982009835,-184.210815,,,
26715,347527797,1732262925.257853,'Left',23.115112593706137,-183.465393,,,
26716,347536464,1732262925.265294,'Left',25.737749916966255,-182.379578,,,
26717,347544645,1732262925.27322,'Left',29.200294552504378,-180.785431,,,
26718,347552822,1732262925.281361,'Left',33.459140821203704,-179.014801,,,
26719,347561091,1732262925.289826,'Left',36.848545414349715,-177.281677,,,
26720,347569760,1732262925.298385,'Left',39.84420298649499,-175.237106,,,
26721,347577955,1732262925.306418,'Left',43.39230910004793,-173.216827,,,
26722,347586357,1732262925.314847,'Left',49.14884832482051,-170.675629,,,
26723,347595121,1732262925.324596,'Left',55.076264174726944,-168.390961,,,
26724,347603392,1732262925.332016,'Left',60.893109467861684,-166.07402,,,
26725,347611456,1732262925.340838,'Left',65.17629978330433,-164.534286,,,
26726,347619938,1732262925.349354,'Left',67.5237991464188,-163.295456,,,
26727,347628376,1732262925.356758,'Left',70.12810205211157,-161.498413,,,
26728,347636755,1732262925.365051,'Left',72.83317702611716,-159.714294,,,
26729,347644887,1732262925.373256,'Left',76.40951456527033,-157.772324,,,
26730,347653304,1732262925.381671,'Left',79.80249911155794,-155.3927,,,
26731,347661621,1732262925.391313,'Left',82.94687783035273,-153.28447,,,
26732,347670238,1732262925.399636,'Left',85.68987320597603,-151.18074,,,
26733,347678539,1732262925.406823,'Left',89.36015108351192,-148.938568,,,
26734,347686932,1732262925.415436,'Left',93.18694834317407,-146.911087,,,
